vehicle_id,latitude,longitude,timestamp
V000,16.53022,80.62528,2026-01-28 07:27
V000,16.5382,80.61065,2026-01-28 07:37
V000,16.52247,80.64103,2026-01-28 07:47
V000,16.53242,80.63744,2026-01-28 07:57
V000,16.51594,80.62103,2026-01-28 08:07
V000,16.51154,80.61128,2026-01-28 08:17
V000,16.53237,80.62591,2026-01-28 08:27
V000,16.52906,80.61687,2026-01-28 08:37
V000,16.51335,80.63921,2026-01-28 08:47
V000,16.54745,80.6376,2026-01-28 08:57
V000,16.52628,80.62134,2026-01-28 09:07
V000,16.53594,80.61183,2026-01-28 09:17
V000,16.53673,80.63911,2026-01-28 09:27
V000,16.53455,80.63544,2026-01-28 09:37
V000,16.53035,80.63556,2026-01-28 09:47
V000,16.5243,80.62925,2026-01-28 09:57
V000,16.54443,80.6404,2026-01-28 10:07
V000,16.521,80.63521,2026-01-28 10:17
V000,16.52965,80.61535,2026-01-28 10:27
V000,16.53048,80.6388,2026-01-28 10:37
V000,16.53206,80.64474,2026-01-28 10:47
V000,16.51537,80.64789,2026-01-28 10:57
V000,16.51441,80.64766,2026-01-28 11:07
V000,16.52554,80.61696,2026-01-28 11:17
V000,16.53896,80.62984,2026-01-28 11:27
V000,16.51204,80.64683,2026-01-28 11:37
V000,16.54071,80.64066,2026-01-28 11:47
V000,16.54131,80.62645,2026-01-28 11:57
V000,16.5457,80.64508,2026-01-28 12:07
V000,16.53856,80.64465,2026-01-28 12:17
V001,16.54217,80.626,2026-01-28 07:27
V001,16.52661,80.64909,2026-01-28 07:37
V001,16.52212,80.61634,2026-01-28 07:47
V001,16.5482,80.62032,2026-01-28 07:57
V001,16.54497,80.62209,2026-01-28 08:07
V001,16.52952,80.64864,2026-01-28 08:17
V001,16.53884,80.61412,2026-01-28 08:27
V001,16.53328,80.64559,2026-01-28 08:37
V001,16.5455,80.61268,2026-01-28 08:47
V001,16.53768,80.63078,2026-01-28 08:57
V001,16.51981,80.6151,2026-01-28 09:07
V001,16.52924,80.61489,2026-01-28 09:17
V001,16.52192,80.6392,2026-01-28 09:27
V001,16.53622,80.61722,2026-01-28 09:37
V001,16.53276,80.63648,2026-01-28 09:47
V001,16.5377,80.63482,2026-01-28 09:57
